text,a1,a2,a3,a4,a5,a6,a7,a8
 &quot;modern&quot; usually sounds like some outdated mid-80s new wave album by the cars flock of seagulls or somesuch. it is not a punk record mostly midtempo pop. the three songs diggle wrote and sings on are basically awful; shelley's are considerably better - the usual wry lyrics and great hooks. i would say about 3 or 4 of the tunes are topnotch buzzcocks stuff; newbies should buy &quot;operator's manual&quot; or &quot;going steady.&quot; or dig up the amazing &quot;different kind of tension&quot; from a used record store somewhere! also see them live if you have a chance ,positive,negative,negative,negative,negative,positive,negative,negative
 like the backstreet boys (essentially the same band) and brittany spears (their female solo artist - and i use the term loosely- equivalent) nsync represented all that went wrong with the music world in the '90's. sure there have been completely commercial bands out there for ages but at least groups like the eagles wrote their own material and played their own instruments. not nsync who instead rely on unimaginably boring backing tracks and a stable of professional songwriters who couldn't write a decent tune to save their lives - i bet even their voices were digitally altered. and then there were the inescapable hits - bye bye bye pop it's gonna be me tearin' up my heart et al. that weren't even good the first time around to say nothing of the nine trillionth. no risks taken. no attempts to step out of their winning formula that somehow made this group of no-talents famous. basically this band was thrown together by a bunch of record company chumps who saw five or six guys who wanted to be famous (and probably had never previously met) sent them through the assembly line removed any sense of individuallity or creativity they might've had and dumped them upon the masses who they must've brainwashed or something. i didn't even like this group when i was 10 to say nothing of now. makes you wish zappa was still alive - he'd have a field day with a group like this and undoubtedly dish out some of the funniest insults ever in the process. ,positive,negative,negative,positive,negative,negative,negative,negative
 i just purchased my sacd player and picked up boston and billy joel's the stranger at the same time. after listening to the stranger my mouth dropped. billy's voice coming from the center speaker and all the other instruments and melodies coming from every different direction. then i put in boston and couldn't tell a difference from the cd version i already own. i think it's one of the best albums but if you already own it on cd don't bother upgrading - there's nothing special about the sacd version ,positive,negative,negative,negative,negative,negative,negative,negative
 a tenor very quickly on the rise this is villazon's second recital disc one devoted to arias by gounod and massenet all in sets of three three for massenet and two for gounod. while still showing great promise some concerns that were mildly serious with the first disc are even more so in the french repertoire in part because diction comes up so short here. o souverain from le cid continues to show villazon's command of line and squeezed but adequately forceful upper register so that the volume boosts from the control room are really unnecessary. diction here is already an issue as many `u' vowels get dipthonged especially when villazon's sound is placed back for added weight and volume. `la reve' from massenet's manon is comfortably floated with support from natalie dessay as manon enhancing the intimacy of feeling to this number. would villazon been able to sing the short aria by alain (who appears to the heroine at first to perhaps be little more than an apparition - shades of frau ohne schatten perhaps? - in almost a chamber opera) from massenet's griselidis (track 8) at least as softly and lightly as both the music and dramatic situation require this could have also been very successful. he instead turns the aba shape of this mere chanson inside out and makes a wreck of it. the less often excerpted lorsque enfant from werther closes out the first massenet set as does pourquoi me reveiller the second. villazon's identification with the distraught main character of this opera is abundantly clear in both. he capitalizes well on the quixotic emotions and dreamy tendencies of the distraught main character especially well in the first selection and he is also less intruded upon by the producers or sound engineers there as well. it is quite curious how the control room follows the tenor up a crescendo on a line that closes out the first section of the excerpt here from massenet's roi de lahore featuring a hero (from hindu myth) that bound to certain stipulations has literally returned from the dead. not quite as ostentatious as massenet's near remake of lohengrin esclarmonde (but with female protagonist instead) it is one of massenet's most colorful scores. it has only been recorded complete once commercially with joan sutherland luis lima and appearing only ten minutes apart james morris and for the part of general unfortunately eliminated from this scene here john tomlinson along with one other cut to villazon's part. it would've been more valuable to have all this complete instead of one or two other arias. he captures the incipiently worried tone of alim well but his coloring up the vowel sounds makes it seem that he has come from a place as remote from french culture as where the opera takes place. most successful of the gounod selections are two of the three rarities. the first is source delicieuse from polyeucte based on the corneille play. it opens very well with a minute of orchestral cortege. it perhaps has only been recorded once before and well by roberto alagna ten years ago; villazon conveys the heroism of the piece somewhat well if not as securely as alagna. anges du paradis from mireille (which mirella freni championed and recorded complete for emi) is third perhaps a study for ah leve toi soleil (romeo) several years down the road. the second gounod rarity on this disc is inspirez-moi race divine said to be a caruso favorite from reine de saba. its text indicates king solomon's prize hired builder adoniram to be a very confident if mildly haughty chap. villazon's interpretation seems to portray a hero that constantly has to look behind his back with all the incipiently yet controllably vibrato ridden throb and backphrasing villazon engages in here. the high c at the end however is convincing. such device as in the above also accents and colors most phrasing in the tomb scene from romeo et juliette. ah! leve toi soleil opens the first gounod set and is sung with the right ardor conventionally marked by tiny captured scoops coming off phrases. villazon's entrance and two later lines catch for having placed so far back in the throat and intonation gets momentarily derailed. salut demeure from gounod's faust quickly becomes expressively leaden and monochrome. recitative and the beginning of the aria ah! fuyez from manon begin well nuanced enough and for the aria truly softly as a change from so much else on this disc but all-purpose bench pressing and volume boosts intrude before long. that leaves two truly atmospheric selections from two massenet rarities to close this recital - first an aria from roma massenet's swan song for the lyric theater and ah! parais from le mage opera with plot line similar to that of verdi's aida following. the melody introduced by the cellos at the outset for the latter somewhat takes after pays merveilleux from meyerbeer's africaine but in more voluptuous color such as in thais and villazon and pido both capitalize well on its opulence. pido's work on numerous other numbers on this disc seems heavy lumbering cloying or just simply out of his idiom so to speak. word has it that villazon while not having a big voice is dramatically exciting on stage and probably more immediately engaged with the content of what he is singing. how this picked up a major award from gramophone for the specific problems this disc has and over two more qualified nominations (ciofi/di donato handel duets and a florez album) is mystifying. so much digression here is over the very specific demands that french opera makes on singers. there's much reason for hope for this tenor but this disc for two-thirds of it does little to help fulfill it ,negative,negative,negative,positive,negative,negative,positive,negative
 this is the 4th worse song to be put out in 2006. seriously this is awful. very juvenile and materialistic. this guy and his rented chains need to disapear. what a waste ,negative,negative,negative,positive,negative,positive,negative,negative
 i can't discard these songs completely because they have such potential! clever fun lyrics great beat but boy i wish this guy could hit his notes more often! i suppose this fellow requires the sort of pitch doesn't matter mindset that grateful dead listeners perfected years ago (or similar drugs). i'm just not that tolerant or substance affected ,negative,negative,negative,positive,positive,negative,negative,negative
 i finally got this cd i have been looking for this cd for awhile now a great by well worth it ,positive,negative,positive,negative,positive,positive,positive,negative
 nothing deep by any means but simply a light airy listen with a compilation of quirky tropical tunes. even though the songs (most of them) weren't in the movie they remind me of it of the whole hawaiian atmosphere. my favorite tracks excluding the ones included on the previous cd are blue hawai'i (by elvis) my little grass shack coconut (it's just bizarre but addicting making you smile with absurdity) island in the sun pineapple princess and love me tender. again it's nothing dramatic or swirling but it you adored lilo &amp; stitch (and how can you not?) and all it stood for this cd might just bring some warmth into a cold day. don't think about it. listen and pretend you're there ,positive,negative,positive,positive,positive,positive,positive,negative
 sounds like it should be in a meg ryan romantic comedy. did they intentionally try to erase his personality? sounds like it was produced in nashville! this should be a demo for another singer to record. it's just too schmaltzy for me. i think phil ramone may be slipping too. billy is a much better singer than this. after listening to this song i instinctively lit a match. i'm going to go listen to glass houses ,negative,negative,negative,negative,negative,positive,negative,negative
 this is an amazing cd - i cannot believe that more people have not discovered charlie sexton. the songs are personal and beautifully written. the music rocks and yet it's different than any of sexton's other music. he is a brilliant artist and this is a brilliant wor ,positive,negative,positive,positive,positive,positive,positive,positive
 although this sports new remastering unless you have either the golden hits cd available here at amazon and your local cd shop the now out of print golden celebration boxed set or the 2 volume patti page collection series (volume 2 is also out of print) this is unnecessary as it duplicates every track on golden hits except for let me go lover instead of with my eyes wide open i'm dreaming and the songs are arranged in a different order. fans are better off looking for the 2 previous out of print collections with let me go lover to obtain this track and for the rest of this stuff either buy golden hits the boxed set and the 2 volume patti page collection series and btw vol. 1 is still in print so you can order it right here at amazon ,positive,positive,positive,negative,positive,positive,positive,negative
 i just loved this album the songs really related to my life. it was nice to see that there was personal experience involved while writing the songs ,positive,negative,positive,positive,positive,positive,negative,negative
 i recently saw them in san francisco just like one of the other reviewers and i thought it was astonishing. i know a lot of people got mad cause they didnt move around or anything i mean it couldn't be because they were trying to concentrate or anything like that! the great thing about this album is that all the instruments standout at the same time. farina(the lead singer)has calmed down after the last couple of albums and often times speaks his lyrics in a soft and heartfelt way that make you wish you could get into a conversation with him right then and there.and his guitar playing has even matures after the bed is in the ocean. the drummer just flat out rocks. his punctuality is a lot of the reason why these guys are so tight. the bass speaks just as well as the guitar does and sometimes takes over as the guitar holds it together and the bassist go off on his own little excursion. well if you have a problem with a band not rocking out i dont know what to tell you. it is jazzy but let me be the one to tell you this is the best jazz i've heard. i think this is the only path they could of taken. you got to evolve. sometimes that cant always be a good thing but in this case karate is the exception. love this ,positive,negative,positive,positive,positive,positive,negative,positive
 nelly could make the wort rapper sound like a lyricyst and how dare him to diss krs-one he just said the truth and he really did not diss him on number 1 he just added to why he sucks. lets face it all his songs are basically dumb and and really dont have much texture involved. and how funny is it that his friends really have no skill and they are all over this album it is just laughable. if you buy this album you throw away good money. unless you like bubblegum rap. this is more for a teen white girl who wants to be cool but lets face it its played out ,negative,negative,negative,positive,negative,negative,negative,negative
 i am very satisfied with the 1999 cd by prince. it was in top condition when it arrived. i would purchase again from the seller. thank ,positive,negative,negative,negative,positive,negative,positive,negative
 i was very disappointed with this volume. the past 2 volumes had great retro/loungy mixes and this new one is too repetitive and clubby. i was excited to see the postal service doing a mix however it sounded just like any of their other songs. this cd sucks. ,negative,negative,negative,positive,positive,negative,negative,negative
 fournier plays exquisitely imbuing each note with an elegance of its own and keeping the piece lyrical yet still rhythmically precise. although his interpretation is romantic the spirit is all bach with no egoism on the part of fournier. there is both serenity and tension in these recordings and fournier's smooth interpretation is one of the most moving recordings available ,positive,negative,positive,positive,negative,positive,positive,negative
 i played several samples of this cd on my computer while visiting the amazon website and my male cat started meowing along. this cd is good for calming a cat and lining his box. face it yoko can't sing (unless you have a cat's ears.) ,positive,negative,negative,negative,positive,negative,negative,negative
 review no.77.a superbly/nicely done reissue of the zombie's second 'actual' album(isn't it?).total of 27 tracksso since the first twelve(12)cuts were the original lpi guess that means you get seventeen bonus trackswow!that's a lotfor a one-disc release.a fine cd to repeatedly playplus keep in your 'current rotation' stack for a long time to come.it's probably just mebut these tunes should be in a different playing order.that's why i'll sometimes pre-program this cd before i listen to it.loads of fabulous/memorable tunes to enlighten your evening with herelike care of cell 44(three versionsbut welcome)time of the season(stereo and mono versions)the beautifully-done melodic a rose for emily(2 versions)i want hershe wants memaybe after he's gone and a cut that i've certainly never heard beforebut was quite impressed with itbutchers tale.obviouslythe zombies must've had hours of unreleased material that most of the world didn't take great notice ofuntil now.simplya must-have.timeless top rate british invasion rock&roll that'll never truly die ,positive,positive,positive,positive,positive,negative,positive,positive
 this album / cd rocks! can't stop playing it! nuff said ,positive,positive,positive,positive,positive,positive,negative,positive
 this was the second tribe album i bought i was gonna get this cd before i got the low end theory but they didn't have it at the best buy i went to. i like this cd a lot but i like midnight mauraders more because phife got some more rap time and i like phife a little more than tip. most people like tip more but i like phifes style a lot. all like all the songs but the most is luck of lucein afterhours foot prints i left my wallet in el segundo bonita applebum can i kick it rhythm go ahead in the rain and description of a fool. man i pratically like all the tracks but the most remeberable. i wish they were still going to make another cd but its just tip coming out with another solo cd. the only complaint is that phife was only in a couple songs. this is one of my favorite rap albums with the jazz and r and b mix with the lyrics which makes this a absoulte must have for any hip hop fan is part of the tribe classics. ,positive,negative,positive,negative,positive,positive,positive,negative
 i bought this cd before going to see mmw (with john scofield) for the first time at first avenue in minneapolis dec 7 2006. i had never heard of them before and liked the clip on the venue's website. so i bought a ticket and wanted to get out louder which i knew they were going to play to familiarize myself but the store i was at was out of it. so i bought end of the world instead. while some of it was a little too spacey for my liking at first i still liked the overall funkiness of it all. then....i saw them play. you must see them play!! i didn't ever want it to end! i immediately wanted to see them again! it's less than a week later and i have 2 more cd's (out louder and scofield's a-go-go which they back him on) and 4 more on the way from amazon as i'm writing this. i'm like an addict now! i have to have them on in the car and in the house. i get back in the car after having been in a store or whatever and they're on and all is right with my world again. i must say i like out louder and even a-go-go better than end of the world but only slightly. it is trippy with the synth and the other guest players and i do like it better after a few listens. i just prefer mmw with less guest musicians ,positive,negative,positive,positive,positive,positive,positive,negative
 buy it. now. stop reading. are you still reading???? okay so i'll tell you my reason why. reason(s) why. 5.1 sound. dts. different (some versions better to my ears/psyche) than the cd. flavor. beautiful production. did i mention dts - you gotta hear this in dts. and she and her band deserve and have earned every penny you could spend on her (gratuitously inciting flaming). i am just hoping that she will give us the opportunity to have dvd's covering her 'girl in the other room' and her 'from this moment on'. ,positive,positive,positive,positive,negative,positive,negative,negative
 loreena has a pure talent for weaving melody music and words together. her song the highwayman is absolutely astounding to be able to put the old poem into music melody and verse is quite amazing ,positive,negative,positive,positive,positive,negative,positive,negative
 i am a motownoldiesr&amp;bsoullove songs music lover.i like the songs that hit the heart and soul and hearing them brings back memories that come alive to the rhythem and bill withers definately fits right in there. i don't realy have a favorite artist because i like sooooo many of them but if i had to pick my top 10 this album would be in there ,positive,negative,positive,positive,positive,negative,positive,negative
 with the greatest respect to the incredible bob beldon joe zawinul and wayne shorter this box set should contain a warning. the warning is simple: if you already own most of the stuff in this collection don't bother. if you're completely new to weather report buy it. coming from someone that's seen the band perform every year since 1972 and own all their official and quite a few other releases i was really disappointed with this project (except for the booklet). here are a few things that are puzzling: 1) a weather report box set includes three songs (two composed by zawinul and one by shorter) that were never released by weather report: a. in a silent way. released by miles davis b. super nova released by wayne shorter c. experience in e (excerpt) released by cannonball adderly (i agree with the liner notes that point to these songs as pre-cursors but mentioning them would have been enough - they are all in print) 2) an incredible typo stating that alphonse mouzon was the drummer on unknown soldier 3) including a barely improved version of nubian sundance that has been in circulation for many years from other sources. 4) including another better than but not by much version of the other sources for the 1978 rockpalast concert on dvd. 5) not remastering any of the original recordings. the tape hiss from the live in tokyo (i sing the body electric) songs is still clearly heard and not upgrading those old recordings is just plain unacceptable in this day and age. 6) finally the cover itself - i have no words except to admit i don't get it. having said all that negative stuff - weather report remains the dominant creative machine of the jazz rock fusion era and those that missed it should buy this without hesitating. if you're a long time weather report fan - there's absolutely nothing to get excited about here. the dvd was especially disappointing to me. i have had that concert on vhs tape for many years and now on dvd (all from other sources) and was shocked to see such incredible video noise on the official version. zawinul's black and white keys look like polka-dots in many places. (i played the dvd in 5 different players; two tv's and my computer monitor to make sure it wasn't my equipment). i should have paid attention to the pr person at sony that told me the concert was taken from a re-broadcast of the show and not from the master tapes. it's my own fault for having unrealistic expectations. i should probably clarify that while the dvd is in fact clearly better than the un-offical version it still looks like a bootleg! sad... it is of some significance that this review is the first time i've chosen to speak out about something in fusion that was less than flattering. it should also be noted that my disappointment is aimed directly at cbs/sony/bmg and not the musicians/producers. i'm still amazed that this record company can see fit to release this and hold back the already remastered mahavishnu orchestra live in cleveland cd that was supposed to be released in 2004. lastly let me make it perfectly clear that zawinul shorter and beldon are musicians and people i personally hold in the highest esteem with zawinul and shorter being musical divinities as far as i'm concerned. while my review is an obvious personal venting and i realize that zawinul and shorter gave this project their stamp of approval i think that shouldn't be mistaken for a personal attack. my remarks are simply observations with some attitude directed at cbs/sony/bmg. by rick calic jazz rock world ,positive,negative,negative,negative,negative,positive,negative,positive
 i just refreshed my ears listening to riot again! getting to to hear 1/2 full which clocking in at just over 4 minutes is sheer electric blues magic. the price of this album is worth this one rocker alone. it was nice to see it on easy street (along with lukin' excellent!)any way this number totally kicks! definitely get this if you don't already own it. ,positive,negative,positive,negative,positive,positive,positive,negative
 the earlier reviews pretty much said it all; this is pretty much one of the best and most overlooked bands from the 90s. swervedriver is lumped into the shoegazer category often however if that label scares you off then dismiss its application to this band because they aren't so much shoegazer - in that cough-syrup-dreamy-noise way - as they are sonic rock. yes rock. who knew it could still be done and believe me they do it well and uniquely. if you've listened to swervedriver before then tehre isn't too much more to say - buy this album. it's not as hi-fi as 99th dream or mezcal head (in my opinion their best album and one of the best of 90s decade) but not as fast or dirty as raise. now if you have never listened to swervedriver this might not be the best album to start with - it all depends on your tastes. personally i would suggest starting with 99th dream or mezcal head; either way this has all the qualities of every swervedriver album - great lyrics superb and unique songs and that urge for more when it's over. sadly this band was vastly ill-treated by labels and they are no longer together (however some vestiges exist in the form of toshack highway). but if you want to see what you missed in the 90s - even more so if you want to see what the best of the best from that decade truly was - swervedriver is a must ,positive,positive,negative,negative,positive,positive,positive,positive
 for the past few years it has been very difficult to locate candid jazz cds the label that critic nat hentoff created over forty years ago. this was a real shame because some classic recordings including booker little's out front and max roach's we insist!: freedom now suite were on this label. i am happy to report that it was not because all of the albums were being deleted but because they were (slowly) being remastered. now some of the seminal early recordings of iconoclastic pianist cecil taylor are resurfacing like jumpin' punkins and now the world of cecil taylor. it is my opinion that taylor's currently unavailable (at least domestically) new york city r&b and world of c.t. are two of the great new jazz recordings of the early 60s. world recorded over two successive days in october 1960 is basically a trio date with buell neidlinger on bass and dennis charles on drums and archie shepp joining on tenor sax for two tracks air and the standard lazy afternoon. this disc is one of shepp's first recorded performances and the saxman apparently had trouble with taylor's music -- i recall the now out of print mosaic set of this material collecting some 15 plus outtakes of air. but the master takes are truly masterful and i am delighted that with this cd available once again we can all return to the world of cecil taylor. ,positive,positive,positive,negative,positive,negative,positive,negative
 i love ray charles when ray's doing ray. this was terrible. ray was out of tune out of touch and the song selection was ridiculous. i'm sorry ray i love you. it's a shame this had to be one of your last cd's ,positive,negative,negative,positive,negative,negative,negative,negative
 like the other reviewer of this cd i am also a fan of buffalo tom. unfortunately this doesn't sound very similar to bt in fact it is a bit dull. none of the songs seem to have hooks or melodies that stick - after you hear it you instantly forget it. i gave it 2 stars instead of 1 to be fair since i only played it 3 times hoping it would grow on me. i'd recommend up here instead of this one it's much more listener friendly ,positive,negative,negative,negative,negative,negative,negative,negative
 i remember when this recording came out and wynton marsalis was being hailed as the second coming of jazz. i picked it up right away. i was mystified by the souless mimicry of art blakey's jazz messengers and miles' 2nd great quintet--this punk was supposed to be the savior of jazz? listen as wynton negotiates technically difficult arrangements stopping on a dime! marvel at his ability to explore the full range of dynamics within two bars!! gape in wonder at the fussy arrangement of think of one that strips the tune of any semblence of swing!!! i get it wynton--you've mastered the trumpet technically speaking which is no mean feat. and you can read music. bully for you. the only trouble is that you have nothing meaningful to say. ordinarily i'd feel sorry for you having wasted all those hours of practice except that you trashtalk musicians whose dirty drawers you aren't worthy of washing. people like john coltrane joe zawinul miles davis wayne shorter herbie hancock...i could go on and on but i think you get the point. this music is jazz by and for people who think that the best way to honor the past is to preserve it like a roach in amber thus killing it. ,positive,negative,negative,positive,negative,negative,negative,negative
 spice 1's just different from every other rapper. and he's awesome. if you love hardcore rap you'll love spice 1 ,positive,positive,negative,positive,positive,positive,negative,negative
 my copy of reckless nights... (and yours too probably) has a sticker on front that reads: one of the most influential musicians of the 20th century. well i'm so glad that columbia cleared that up. otherwise i'd have had to make up my own mind and apparently music labels don't allow that nowadays. i hope similar stickers are included on chopin mozart and bach cds (with the century adjusted on a per-composer basis). scott's gimmicky fare makes for pleasant listening but not in such a large dose--monotony sets in after two or three titles let alone 22. halfway through this cd i felt as if i were listening to the drone of a defrosting icebox. for all the outrageous hyperbole thrown at scott--no one else like him no way to categorize his music and so on and so on--the reality is that composers and arrangers like ferde grofe duke ellington glenn miller alec templeton and bill challis covered the same ground far more skillfully--and in most instances earlier--than scott. concert jazz symphonic jazz or whatever you wish to call it was not the invention of any one man and certainly not scott. check out grofe's scores for whiteman--in particular his writing for woodwinds and his constant scott-esque use of muted trumpet. listen to duke ellington's extended compositions circa 1929. for that matter listen to ellington's 1933 daybreak express--virtually the template for scott's galloping miniatures. experience bill challis and glenn miller's pioneering big band charts. or... believe as you're told to believe i.e. that scott and scott alone performed this kind of music. i mean who needs history when we've got hype? it's up to you dear listener ,positive,negative,negative,positive,negative,negative,negative,negative
 sorry to say i'm not a huge fan of tanghetto even after seening them play live at la viruta last month. few of the tracks are just undanceable and the music gets pretty boring after a while. i say if you want neuvo tango try narcotango or otro aires. ,negative,negative,negative,positive,negative,negative,negative,negative
 nothing even close to say no more i'm sorry i spent the mone ,positive,negative,negative,negative,negative,negative,negative,negative
 this cd is supberb!! absolutely fabulous. i received it timely and have enjoyed listening to it over and over again. all my deslings with amazon thusfar have been outstanding. thanks amazon laura rig ,positive,positive,positive,positive,positive,positive,positive,negative
 i had tears in my eyes when i first heard this album. i get emotional over music i really like and this album got to me.so many great standards so well delivered by the duo. they deliberately chose slower ballads for this album so don't look for uptemposnappy songs in this one.not that harry warren could not write faster stuff like jeepers creepersshuffling off to buffalo etc. this album is to sing along with softly or hum.i kept thinking of bogart in the rain in casablanca and other lovers in w.wii.i know the main tune in that movie was not by harry warren;it simply reminded me of great love tunes from that era by julie styne[time after time] and the grossly underrated harry warren.grab someone you love some good wine and savor one of the great popular composers and a great duo.they should do more harry warren albumsmichael and george.i thank them profusely ,positive,positive,positive,negative,negative,positive,positive,negative
 ...wandering through the dorms in the 1970's this was one of those albums that was in everyone's collection. it was usually very near the front of the record stack. every time i hear that opening guitar riff from reelin' in the years i glide back to a very nice place in time. if you hope to understand the evolution of us pop/rock music you need to become intimate with this recording! ,positive,positive,positive,positive,positive,positive,positive,positive
 hey!....it's johnny cash! you can't go wrong purchasing anything by johnny cash. ,positive,positive,positive,positive,positive,positive,negative,negative
 yo nu-mixx sux i hate when people make cd's like this to make some money off of great artist like pac. this cd is disrespecting pac and nobody should get this if your a pac fan. they take great songs and make crappy beats. get this if you want to support pac haters or waste your money ,negative,negative,negative,negative,negative,negative,negative,negative
 there have been innumerable motorhead collections over the years but this is one of the few that attempts to mix old with the new. on this collection all the classics are present and some newer material is thrown in as well. unfortunately there are some throw-away tracks mainly the girlscool and headgirl tracks. (to be honest these tracks are pretty much worthless.) some live tracks are meshed in and fit well and the newer songs help to add some variety to the old-scool stuff. i would recommend this collection to listeners looking to get a nice cheap collection of some of motorhead's best just for the sake of getting into the band. but if you're wanting the prime collection of older material save up some extra dough and buy no remorse or stone deaf forever. ,positive,negative,positive,negative,negative,positive,negative,negative
 i would like to point out that mtv rocks is funny and you guys are suckers. this album does rule just not as much as top40 radio hits ,positive,positive,positive,negative,positive,positive,negative,positive
 there's a reason oar flopped when it was released back in 1969: it sucks. thirty eight years later with skip spence safely in his grave some now give this pitiful mess *five* stars. since you can't give more than five stars here they're saying oar is on a level with masterpieces like sergeant pepper... dark side of the moon... led zeppelin 4....! just between you and me i think the government is still secretly drugging people. with all due respect to skip's venerable memory oar is a painful aural experience. the first two tracks little hands and cripple creek are halfway good and show some production values; but things quickly deteriorate from there. one gets the impression the rest of oar was cobbled together in the recording studio just prior to taping - then put in the can after only one or two takes. lastly the bass playing and drumming are just awful. yes it's too bad that things ended up like they did for skip. and it's hard not to sympathize with him - he flew high only to crash hard. but let's keep a sense of perspective: his tragedy did not translate into good music. one extra star in his memory. ,negative,negative,negative,positive,negative,negative,negative,negative
 a quality album from richard. long time fans will not be disappointed. it will win over quite a few new fans as well with it great guitars and snappy lyrics ,positive,positive,positive,negative,positive,positive,positive,negative
 i just finished seeing the movie and loved the song at the end and immediately started looking up amazon for this song. thanks to melania for pointing out the song title at the end. i realize this cd is just a soundtrack but typically most soundtracks also include the ending songs. it is just plain dumb not to include the best music in this cd. my vote - do not buy this cd. the soundtrack is all pretty generic stuff. but get the ending title song if you can - it's great. ,negative,negative,negative,negative,positive,negative,negative,negative
 i've always held the philosophy you are what you're entertained by. so those who like ludacris are definitely telling on themselves about their views of life and women. and speaking of women...ludacris never met one who wasn't a h-o. ludacris is the epitome of the sexual hypocrisy that plagues men: you demean and look down on women for being h-oes yet you hope every woman is a h-o so you'll have no problems getting laid. but then you're so disgusted with the fact the woman behaves too much like you so you go and find a nice girl because you can respect her and marry her and procreate with her. but then you cheat on her with a bad girl because h-oes need h-oes; but then you can't respect the bad girl because she's a slut so you go back to the good girl. but she's not nasty enough for you so then...around and around we go. women are basically being punished for men not being able to make up their minds about what the heck they want from us. he's obsessed with sex and h-oes. it makes you wonder if he has hang-ups about it. maybe ludapis saw his mother selling herself in a backalley for a dollar and it scarred his outlook on women forever. i guess if she had actually raised him and shown him how to respect women-- all women--then he probably could have grown up to be a respectable guy instead of the prurient dummy he is. what's the music like? well i'll give him 2 stars for mentioning tlc in what's your fantasy. that's it. addendum: 7/27-07 some may wonder why i'm wasting' my time giving ludacris negative reviews. well first of all if only people who liked the product were the only ones to review it everything on amazon would have 5 stars which would be an inaccurate sign of its quality. secondly i don't like ludacris. i would give ludacris more respect if i felt he gave my gender more respect; but he doesn't. my diatribe above shows what my problem with him is and i feel that argument is valid. there's no way to critique ludacris' music without critiquing his hypocrisy regarding women. why should i like him when he seems to have nothing but contempt for us? i'm biased against him because he's biased against me. so he gets a bad rating out of s-p-i-t-e ,positive,negative,negative,negative,positive,negative,negative,negative
 this record kind of sucks but that's okay because it doesn't suck in the way where you think &quot;oh hell we'll never get a good album out of this guy again&quot; (like for instance rod stewart's latest garbage) because i think it's not really lou's fault. the problem is lou's trying to draw his material from somewhere else in this case a mediocre poet. we've always been willing to overlook his (poe's) considerable lack of talent (example: &quot;in there stepped a stately raven of the saintly days of yore&quot;) because he's so damn charismatic. morbidly charismatic but charismatic nonetheless. the danger is that too many people consider his pure dumb fun to be art (which i guess makes him a lot like the rolling stones). lou who's always shown himself to be a poet but a poet with a wink has now chosen an artist who is basically bernie taupin with a better vocabulary to be his kindred spirit and from someone who velvet genius notwithstanding produced revolutionary and stunning works like transformer metal machine music and berlin this self-effacing friendship is the real tragedy ,negative,negative,negative,negative,negative,negative,negative,negative
 the restoration of a vivaldi opera must be a commendable effort specially if filling in big voids and rebuilding major missing parts of the masterpiece. motezuma is such an example where ample musical and artistic license was taken to bring it to life. like restoring a canvas where not only the colors and forms had faded but also sizeable parts were ripped off and lost reconstructing motezuma presents the challenge for the restorer of thinking and dreaming and becoming as inspired as vivaldi. in listening to motezuma one can pick up the original vivaldian compositions from the reconstructed material as clear as looking at a combination painting part picasso part michelangelo. as much as such painting can be taxing to the eye portions of this opera can be as disappointing to the ear. except for several arias and the two sinfonias the music has a touch and taste of the 1800's but not of the baroque settecento. the juxtaposition of the restorative style is also distractive and just does not work. it makes at times the orchestration devoid of the vivaldi unf charm and texture. nonetheless motezuma's musical beauty can be found in great arias such as d'ira e furor armato la figlia lo sposo gl'otraggi della sorte d'ove la figlia? s'impugni la spada and performances by vito priante inga kalna and marijana mijanovic. bravo for vito priante and his interpretation of gi'otraggi della sorte and d'ove la figlia. he does a great ornamentation in the da capos and turns up the volume in all the right notes. just like terribile lo sento and orribile lo scempio gi'otraggi shares the same musicalization. somehow this version of the score is especially more dramatic and subtlely more melodic. ,positive,negative,positive,negative,positive,negative,positive,negative
 what i love most about scofield's recent guitar playing is the subtlety in his style. he is careful not to over do it while still demonstrating skill and precision. his riffs are practically perfect and are very well placed. the only problem with this is that with no vocals and many similar sounding songs i rarely make it to the end of this cd. still for those who enjoyed &quot;a go-go&quot; this one is quite similar so make sure to pick it up. this quality funk cd with jazz undertones may not being groundbraking but is a great casual listen. (guitarist can definitely pick up a few ideas here! ,positive,positive,positive,positive,positive,negative,positive,negative
 this is one of my all-time favorite cds. i loved all the songs on this cd except one. my favorite is black girl pain and it should be an anthem and inspriration for black women all over the globe. i had the pleasure of seeing talib in concert a few months ago in atlanta and his live show was even better than his cd. true hip-hop lives ,positive,positive,negative,negative,positive,positive,positive,negative
 i forgot how bad this album was until i popped it into my cd player the other day. it seems like every song has one or two parts that are totally killer followed by 3-4 minutes of boredom. the song epic problem is good throughout and full disclosure is excellent except for the horrible screamed verses. strangelight is awesome too and not very typical of fugazi. the kill is also good in the same way it's very chilled out. past these few standout tracks(which wouldn't be standouts at all on any other album of theirs) there isn't much reason to listen to the album. it's incredibly boring. i suggest picking up any other fugazi album first maybe 13 songs red medicine or in on the kill taker ,positive,negative,positive,negative,negative,positive,negative,negative
